Year,County,AQI Median
1985-12-31,Tulare,74.0
1985-12-31,Ventura,87.0
1985-12-31,Yolo,37.0
1986-12-31,Alameda,44.0
1986-12-31,Butte,41.0
1986-12-31,Colusa,49.0
1986-12-31,Contra Costa,47.0
1986-12-31,El Dorado,61.0
1986-12-31,Fresno,93.0
1986-12-31,Glenn,49.0
1986-12-31,Imperial,37.0
1986-12-31,Kern,89.0
1986-12-31,Kings,39.0
1986-12-31,Lake,29.0
1986-12-31,Los Angeles,156.0
1986-12-31,Marin,38.0
1986-12-31,Mendocino,32.0
1986-12-31,Mono,47.0
1986-12-31,Monterey,37.0
1986-12-31,Orange,89.0
1986-12-31,Placer,44.0
1986-12-31,Riverside,103.0
1986-12-31,Sacramento,57.0
1986-12-31,San Benito,37.0
1986-12-31,San Bernardino,133.0
1986-12-31,San Diego,101.0
1986-12-31,San Francisco,39.0
1986-12-31,San Joaquin,47.0
1986-12-31,San Luis Obispo,40.0
1986-12-31,San Mateo,38.0
1986-12-31,Santa Barbara,71.0
1986-12-31,Santa Clara,46.0
1986-12-31,Santa Cruz,28.0
1986-12-31,Shasta,44.0
1986-12-31,Siskiyou,37.0
1986-12-31,Solano,38.0
1986-12-31,Sonoma,33.0
1986-12-31,Stanislaus,47.0
1986-12-31,Sutter,48.0
1986-12-31,Tulare,79.0
1986-12-31,Ventura,101.0
1986-12-31,Yolo,39.0
1987-12-31,Alameda,40.0
1987-12-31,Butte,47.0
1987-12-31,Colusa,67.0
1987-12-31,Contra Costa,47.0
1987-12-31,El Dorado,63.0
1987-12-31,Fresno,95.0
1987-12-31,Glenn,60.0
1987-12-31,Imperial,37.0
1987-12-31,Kern,79.0
1987-12-31,Kings,46.5
1987-12-31,Lake,30.0
1987-12-31,Los Angeles,150.0
1987-12-31,Marin,38.0
1987-12-31,Mendocino,33.0
1987-12-31,Mono,46.0
1987-12-31,Monterey,37.0
1987-12-31,Orange,79.0
1987-12-31,Placer,48.0
1987-12-31,Riverside,105.0
1987-12-31,Sacramento,67.0
1987-12-31,San Benito,47.0
1987-12-31,San Bernardino,122.0
1987-12-31,San Diego,100.0
1987-12-31,San Francisco,38.0
1987-12-31,San Joaquin,54.0
1987-12-31,San Luis Obispo,40.0
1987-12-31,San Mateo,37.0
1987-12-31,Santa Barbara,64.0
1987-12-31,Santa Clara,46.0
1987-12-31,Santa Cruz,32.0
1987-12-31,Shasta,38.0
1987-12-31,Siskiyou,42.0
1987-12-31,Solano,42.0
1987-12-31,Sonoma,37.0
1987-12-31,Stanislaus,61.0
1987-12-31,Sutter,48.0
1987-12-31,Tulare,87.0
1987-12-31,Ventura,87.0
1987-12-31,Yolo,43.0
1988-12-31,Alameda,47.0
1988-12-31,Butte,44.0
1988-12-31,Colusa,25.0
1988-12-31,Contra Costa,47.0
1988-12-31,El Dorado,58.5
1988-12-31,Fresno,100.0
1988-12-31,Glenn,30.0
1988-12-31,Imperial,44.0
1988-12-31,Kern,101.0
1988-12-31,Kings,51.0
1988-12-31,Lake,26.0
1988-12-31,Los Angeles,167.0
1988-12-31,Marin,28.0
1988-12-31,Mendocino,31.0
1988-12-31,Mono,46.0
1988-12-31,Monterey,30.0
1988-12-31,Orange,89.0
1988-12-31,Placer,51.0
1988-12-31,Riverside,119.0
1988-12-31,Sacramento,68.0
1988-12-31,San Benito,44.0
1988-12-31,San Bernardino,126.0
1988-12-31,San Diego,113.0
1988-12-31,San Francisco,38.0
1988-12-31,San Joaquin,48.0
1988-12-31,San Luis Obispo,46.0
1988-12-31,San Mateo,38.0
1988-12-31,Santa Barbara,74.5
1988-12-31,Santa Clara,46.0
1988-12-31,Santa Cruz,33.0
1988-12-31,Shasta,38.0
1988-12-31,Siskiyou,34.5
1988-12-31,Solano,43.0
1988-12-31,Sonoma,37.0
1988-12-31,Stanislaus,58.0
1988-12-31,Sutter,44.0
1988-12-31,Tulare,87.0
1988-12-31,Ventura,93.0
1988-12-31,Yolo,39.0
1989-12-31,Alameda,44.0
1989-12-31,Butte,44.0
1989-12-31,Colusa,27.0
1989-12-31,Contra Costa,47.0
1989-12-31,El Dorado,64.0
1989-12-31,Fresno,100.0
1989-12-31,Glenn,23.0
1989-12-31,Imperial,38.0
1989-12-31,Kern,100.0
1989-12-31,Kings,49.0
1989-12-31,Lake,28.0
1989-12-31,Los Angeles,150.0
