Year,County,AQI Median
2002-12-31,San Luis Obispo,44.0
2002-12-31,San Mateo,35.0
2002-12-31,Santa Barbara,49.0
2002-12-31,Santa Clara,47.0
2002-12-31,Santa Cruz,36.0
2002-12-31,Shasta,44.0
2002-12-31,Siskiyou,33.0
2002-12-31,Solano,39.0
2002-12-31,Sonoma,37.0
2002-12-31,Stanislaus,53.0
2002-12-31,Sutter,45.0
2002-12-31,Tulare,108.0
2002-12-31,Ventura,61.0
2002-12-31,Yolo,42.0
2003-12-31,Alameda,39.0
2003-12-31,Butte,58.0
2003-12-31,Colusa,38.0
2003-12-31,Contra Costa,44.0
2003-12-31,El Dorado,54.0
2003-12-31,Fresno,107.0
2003-12-31,Glenn,40.0
2003-12-31,Imperial,61.0
2003-12-31,Kern,118.0
2003-12-31,Kings,55.5
2003-12-31,Lake,37.0
2003-12-31,Los Angeles,95.0
2003-12-31,Marin,28.0
2003-12-31,Mendocino,33.0
2003-12-31,Mono,48.0
2003-12-31,Monterey,36.0
2003-12-31,Orange,63.0
2003-12-31,Placer,50.0
2003-12-31,Riverside,97.0
2003-12-31,Sacramento,67.0
2003-12-31,San Benito,43.0
2003-12-31,San Bernardino,91.0
2003-12-31,San Diego,68.0
2003-12-31,San Francisco,37.0
2003-12-31,San Joaquin,44.0
2003-12-31,San Luis Obispo,44.0
2003-12-31,San Mateo,33.0
2003-12-31,Santa Barbara,48.0
2003-12-31,Santa Clara,47.0
2003-12-31,Santa Cruz,35.0
2003-12-31,Shasta,43.0
2003-12-31,Siskiyou,39.0
2003-12-31,Solano,38.0
2003-12-31,Sonoma,37.0
2003-12-31,Stanislaus,49.0
2003-12-31,Sutter,42.0
2003-12-31,Tulare,101.0
2003-12-31,Ventura,54.0
2003-12-31,Yolo,44.0
2004-12-31,Alameda,43.0
2004-12-31,Butte,50.5
2004-12-31,Colusa,40.0
2004-12-31,Contra Costa,40.0
2004-12-31,El Dorado,51.0
2004-12-31,Fresno,86.0
2004-12-31,Glenn,37.0
2004-12-31,Imperial,60.5
2004-12-31,Kern,112.5
2004-12-31,Kings,55.0
2004-12-31,Lake,35.0
2004-12-31,Los Angeles,90.0
2004-12-31,Marin,29.0
2004-12-31,Mendocino,32.0
2004-12-31,Mono,48.0
2004-12-31,Monterey,34.5
2004-12-31,Orange,67.0
2004-12-31,Placer,56.0
2004-12-31,Riverside,97.5
2004-12-31,Sacramento,62.5
2004-12-31,San Benito,41.0
2004-12-31,San Bernardino,90.0
2004-12-31,San Diego,67.0
2004-12-31,San Francisco,40.5
2004-12-31,San Joaquin,43.0
2004-12-31,San Luis Obispo,41.0
2004-12-31,San Mateo,40.0
2004-12-31,Santa Barbara,48.0
2004-12-31,Santa Clara,46.0
2004-12-31,Santa Cruz,36.0
2004-12-31,Shasta,44.0
2004-12-31,Siskiyou,33.0
2004-12-31,Solano,45.0
2004-12-31,Sonoma,33.0
2004-12-31,Stanislaus,47.0
2004-12-31,Sutter,45.5
2004-12-31,Tulare,95.5
2004-12-31,Ventura,56.5
2004-12-31,Yolo,44.0
2005-12-31,Alameda,43.0
2005-12-31,Butte,47.0
2005-12-31,Colusa,44.0
2005-12-31,Contra Costa,40.0
2005-12-31,El Dorado,43.0
2005-12-31,Fresno,72.0
2005-12-31,Glenn,37.0
2005-12-31,Imperial,61.0
2005-12-31,Kern,93.0
2005-12-31,Kings,48.0
2005-12-31,Lake,35.0
2005-12-31,Los Angeles,82.0
2005-12-31,Marin,29.0
2005-12-31,Mendocino,32.0
2005-12-31,Mono,17.0
2005-12-31,Monterey,35.0
2005-12-31,Orange,57.0
2005-12-31,Placer,56.0
2005-12-31,Riverside,90.0
2005-12-31,Sacramento,59.0
2005-12-31,San Benito,40.0
2005-12-31,San Bernardino,82.0
2005-12-31,San Diego,67.0
2005-12-31,San Francisco,37.0
2005-12-31,San Joaquin,40.0
2005-12-31,San Luis Obispo,41.0
2005-12-31,San Mateo,42.0
2005-12-31,Santa Barbara,47.0
2005-12-31,Santa Clara,46.0
2005-12-31,Santa Cruz,34.0
2005-12-31,Shasta,43.0
2005-12-31,Siskiyou,34.5
2005-12-31,Solano,41.0
2005-12-31,Sonoma,31.0
2005-12-31,Stanislaus,42.0
2005-12-31,Sutter,48.0
2005-12-31,Tulare,84.0
2005-12-31,Ventura,50.0
2005-12-31,Yolo,44.0
2006-12-31,Alameda,45.0
2006-12-31,Butte,56.0
2006-12-31,Colusa,45.0
2006-12-31,Contra Costa,41.0
2006-12-31,El Dorado,43.0
2006-12-31,Fresno,80.0
2006-12-31,Glenn,41.0
2006-12-31,Imperial,62.0
2006-12-31,Kern,100.0
2006-12-31,Kings,52.0
2006-12-31,Lake,35.0
2006-12-31,Los Angeles,82.0
2006-12-31,Marin,30.0
2006-12-31,Mendocino,34.0
2006-12-31,Mono,15.0
2006-12-31,Monterey,37.0
2006-12-31,Orange,56.0
2006-12-31,Placer,60.0
2006-12-31,Riverside,84.0
2006-12-31,Sacramento,64.0
2006-12-31,San Benito,42.0
2006-12-31,San Bernardino,80.0
2006-12-31,San Diego,70.0
2006-12-31,San Francisco,37.0
2006-12-31,San Joaquin,44.0
2006-12-31,San Luis Obispo,46.0
2006-12-31,San Mateo,39.0
2006-12-31,Santa Barbara,48.0
2006-12-31,Santa Clara,47.0
2006-12-31,Santa Cruz,36.0
2006-12-31,Shasta,45.0
2006-12-31,Siskiyou,36.0
2006-12-31,Solano,47.0
2006-12-31,Sonoma,33.0
2006-12-31,Stanislaus,44.0
2006-12-31,Sutter,54.0
2006-12-31,Tulare,88.0
2006-12-31,Ventura,48.0
2006-12-31,Yolo,44.0
2007-12-31,Alameda,38.0
2007-12-31,Butte,49.0
2007-12-31,Colusa,41.0
2007-12-31,Contra Costa,40.0
2007-12-31,El Dorado,44.0
2007-12-31,Fresno,87.0
2007-12-31,Glenn,44.0
2007-12-31,Imperial,58.0
2007-12-31,Kern,101.0
2007-12-31,Kings,77.0
2007-12-31,Lake,32.0
2007-12-31,Los Angeles,81.0
2007-12-31,Marin,30.0
2007-12-31,Mendocino,31.0
2007-12-31,Mono,16.5
2007-12-31,Monterey,35.0
2007-12-31,Orange,53.0
2007-12-31,Placer,54.0
2007-12-31,Riverside,101.0
2007-12-31,Sacramento,60.0
2007-12-31,San Benito,43.0
2007-12-31,San Bernardino,90.0
2007-12-31,San Diego,67.0
2007-12-31,San Francisco,38.0
2007-12-31,San Joaquin,48.0
2007-12-31,San Luis Obispo,49.0
2007-12-31,San Mateo,38.0
2007-12-31,Santa Barbara,48.0
2007-12-31,Santa Clara,44.0
2007-12-31,Santa Cruz,34.0
2007-12-31,Shasta,44.0
2007-12-31,Siskiyou,32.0
2007-12-31,Solano,45.0
2007-12-31,Sonoma,35.0
2007-12-31,Stanislaus,56.0
2007-12-31,Sutter,48.0
2007-12-31,Tulare,100.0
2007-12-31,Ventura,51.0
2007-12-31,Yolo,43.0
2008-12-31,Alameda,51.0
2008-12-31,Butte,52.0
2008-12-31,Colusa,47.0
2008-12-31,Contra Costa,42.0
2008-12-31,El Dorado,47.0
2008-12-31,Fresno,84.0
2008-12-31,Glenn,46.0
2008-12-31,Imperial,52.5
2008-12-31,Kern,107.0
2008-12-31,Kings,80.0
2008-12-31,Lake,34.0
2008-12-31,Los Angeles,84.0
2008-12-31,Marin,31.0
2008-12-31,Mendocino,31.0
2008-12-31,Mono,20.0
2008-12-31,Monterey,36.0
2008-12-31,Orange,64.5
2008-12-31,Placer,54.0
2008-12-31,Riverside,90.5
2008-12-31,Sacramento,61.0
2008-12-31,San Benito,45.0
2008-12-31,San Bernardino,84.0
2008-12-31,San Diego,72.0
2008-12-31,San Francisco,44.0
2008-12-31,San Joaquin,49.0
2008-12-31,San Luis Obispo,51.0
2008-12-31,San Mateo,40.0
2008-12-31,Santa Barbara,47.0
2008-12-31,Santa Clara,51.0
2008-12-31,Santa Cruz,36.0
2008-12-31,Shasta,45.0
2008-12-31,Siskiyou,34.0
2008-12-31,Solano,52.0
2008-12-31,Sonoma,37.0
2008-12-31,Stanislaus,63.5
2008-12-31,Sutter,51.0
2008-12-31,Tulare,97.0
2008-12-31,Ventura,50.0
2008-12-31,Yolo,44.0
2009-12-31,Alameda,49.0
2009-12-31,Butte,50.0
2009-12-31,Colusa,44.0
2009-12-31,Contra Costa,40.0
2009-12-31,El Dorado,43.5
2009-12-31,Fresno,77.0
2009-12-31,Glenn,42.0
2009-12-31,Imperial,55.0
2009-12-31,Kern,96.0
2009-12-31,Kings,71.0
2009-12-31,Lake,33.5
2009-12-31,Los Angeles,79.0
2009-12-31,Marin,31.0
2009-12-31,Mendocino,54.0
2009-12-31,Mono,17.0
2009-12-31,Monterey,33.0
2009-12-31,Orange,57.0
2009-12-31,Placer,52.0
2009-12-31,Riverside,87.0
2009-12-31,Sacramento,54.0
2009-12-31,San Benito,41.0
2009-12-31,San Bernardino,84.0
2009-12-31,San Diego,67.0
2009-12-31,San Francisco,48.0
2009-12-31,San Joaquin,44.0
2009-12-31,San Luis Obispo,52.0
2009-12-31,San Mateo,40.0
2009-12-31,Santa Barbara,45.0
2009-12-31,Santa Clara,43.0
2009-12-31,Santa Cruz,31.0
2009-12-31,Shasta,44.0
2009-12-31,Siskiyou,31.0
2009-12-31,Solano,40.0
2009-12-31,Sonoma,33.0
2009-12-31,Stanislaus,58.0
2009-12-31,Sutter,48.0
2009-12-31,Tulare,84.0
2009-12-31,Ventura,49.0
2009-12-31,Yolo,43.0
2010-12-31,Alameda,43.0
2010-12-31,Butte,47.0
2010-12-31,Colusa,38.0
2010-12-31,Contra Costa,39.0
2010-12-31,El Dorado,42.0
2010-12-31,Fresno,70.0
2010-12-31,Glenn,42.0
2010-12-31,Imperial,53.0
2010-12-31,Kern,79.0
2010-12-31,Kings,70.0
2010-12-31,Lake,35.0
2010-12-31,Los Angeles,76.0
2010-12-31,Marin,38.0
2010-12-31,Mendocino,34.0
2010-12-31,Mono,18.0
2010-12-31,Monterey,36.0
2010-12-31,Orange,56.0
2010-12-31,Placer,50.0
2010-12-31,Riverside,87.0
2010-12-31,Sacramento,49.0
2010-12-31,San Benito,40.0
2010-12-31,San Bernardino,81.0
2010-12-31,San Diego,61.0
2010-12-31,San Francisco,40.0
2010-12-31,San Joaquin,45.0
2010-12-31,San Luis Obispo,51.0
2010-12-31,San Mateo,35.0
2010-12-31,Santa Barbara,44.0
2010-12-31,Santa Clara,42.0
2010-12-31,Santa Cruz,34.0
2010-12-31,Shasta,43.0
2010-12-31,Siskiyou,33.0
2010-12-31,Solano,39.0
2010-12-31,Sonoma,32.0
2010-12-31,Stanislaus,53.0
2010-12-31,Sutter,44.0
2010-12-31,Tulare,69.0
2010-12-31,Ventura,47.0
2010-12-31,Yolo,38.0
2011-12-31,Alameda,44.0
2011-12-31,Butte,55.0
2011-12-31,Colusa,43.0
2011-12-31,Contra Costa,39.0
2011-12-31,El Dorado,42.0
2011-12-31,Fresno,80.0
2011-12-31,Glenn,44.0
2011-12-31,Imperial,49.0
2011-12-31,Kern,84.0
2011-12-31,Kings,71.0
2011-12-31,Lake,34.0
2011-12-31,Los Angeles,80.0
2011-12-31,Marin,39.0
2011-12-31,Mendocino,39.0
2011-12-31,Mono,16.0
2011-12-31,Monterey,37.0
2011-12-31,Orange,58.0
2011-12-31,Placer,52.0
2011-12-31,Riverside,92.0
2011-12-31,Sacramento,55.0
2011-12-31,San Benito,41.0
2011-12-31,San Bernardino,84.0
2011-12-31,San Diego,63.0
2011-12-31,San Francisco,41.0
2011-12-31,San Joaquin,53.0
2011-12-31,San Luis Obispo,56.0
2011-12-31,San Mateo,38.0
2011-12-31,Santa Barbara,49.0
2011-12-31,Santa Clara,50.0
2011-12-31,Santa Cruz,36.0
2011-12-31,Shasta,44.0
2011-12-31,Siskiyou,37.0
2011-12-31,Solano,43.0
2011-12-31,Sonoma,35.0
2011-12-31,Stanislaus,64.0
2011-12-31,Sutter,54.0
2011-12-31,Tulare,84.0
2011-12-31,Ventura,47.0
2011-12-31,Yolo,50.0
2012-12-31,Alameda,41.0
2012-12-31,Butte,53.0
2012-12-31,Colusa,49.0
2012-12-31,Contra Costa,39.0
2012-12-31,El Dorado,45.0
2012-12-31,Fresno,80.0
2012-12-31,Glenn,43.0
2012-12-31,Imperial,51.5
2012-12-31,Kern,84.0
2012-12-31,Kings,66.0
2012-12-31,Lake,35.0
2012-12-31,Los Angeles,83.0
2012-12-31,Marin,35.0
2012-12-31,Mendocino,33.0
2012-12-31,Mono,17.0
2012-12-31,Monterey,37.0
2012-12-31,Orange,55.0
2012-12-31,Placer,49.0
2012-12-31,Riverside,94.0
2012-12-31,Sacramento,51.5
2012-12-31,San Benito,41.0
2012-12-31,San Bernardino,89.5
2012-12-31,San Diego,64.0
2012-12-31,San Francisco,36.0
2012-12-31,San Joaquin,55.5
2012-12-31,San Luis Obispo,53.0
2012-12-31,San Mateo,36.0
2012-12-31,Santa Barbara,47.0
2012-12-31,Santa Clara,44.5
2012-12-31,Santa Cruz,34.0
2012-12-31,Shasta,44.0
2012-12-31,Siskiyou,37.0
2012-12-31,Solano,41.0
2012-12-31,Sonoma,37.0
2012-12-31,Stanislaus,62.0
2012-12-31,Sutter,48.0
2012-12-31,Tulare,80.0
2012-12-31,Ventura,54.0
2012-12-31,Yolo,44.0
2013-12-31,Alameda,50.0
2013-12-31,Butte,54.0
2013-12-31,Colusa,41.0
2013-12-31,Contra Costa,46.0
2013-12-31,El Dorado,45.0
2013-12-31,Fresno,87.0
2013-12-31,Glenn,44.0
2013-12-31,Imperial,56.0
2013-12-31,Kern,89.0
2013-12-31,Kings,77.0
2013-12-31,Lake,33.0
2013-12-31,Los Angeles,77.0
2013-12-31,Marin,40.0
2013-12-31,Mendocino,28.0
2013-12-31,Mono,19.0
2013-12-31,Monterey,38.0
2013-12-31,Orange,53.0
2013-12-31,Placer,51.0
2013-12-31,Riverside,87.0
2013-12-31,Sacramento,54.0
2013-12-31,San Benito,43.0
2013-12-31,San Bernardino,84.0
2013-12-31,San Diego,66.0
2013-12-31,San Francisco,38.0
2013-12-31,San Joaquin,57.0
2013-12-31,San Luis Obispo,59.0
2013-12-31,San Mateo,38.0
2013-12-31,Santa Barbara,46.0
2013-12-31,Santa Clara,48.0
2013-12-31,Santa Cruz,38.0
2013-12-31,Shasta,42.0
2013-12-31,Siskiyou,37.0
2013-12-31,Solano,44.0
2013-12-31,Sonoma,36.0
2013-12-31,Stanislaus,61.0
2013-12-31,Sutter,48.0
2013-12-31,Tulare,84.0
2013-12-31,Ventura,51.0
2013-12-31,Yolo,41.0
2014-12-31,Alameda,43.0
2014-12-31,Butte,52.0
2014-12-31,Colusa,44.0
2014-12-31,Contra Costa,45.0
2014-12-31,El Dorado,45.0
2014-12-31,Fresno,81.0
2014-12-31,Glenn,41.0
2014-12-31,Imperial,67.0
2014-12-31,Kern,97.0
2014-12-31,Kings,71.0
2014-12-31,Lake,37.0
2014-12-31,Los Angeles,80.0
2014-12-31,Marin,43.0
2014-12-31,Mendocino,38.0
2014-12-31,Mono,15.0
2014-12-31,Monterey,37.0
2014-12-31,Orange,59.0
2014-12-31,Placer,52.0
2014-12-31,Riverside,93.0
2014-12-31,Sacramento,51.0
2014-12-31,San Benito,42.0
2014-12-31,San Bernardino,80.0
2014-12-31,San Diego,61.0
2014-12-31,San Francisco,34.0
2014-12-31,San Joaquin,54.0
2014-12-31,San Luis Obispo,55.0
2014-12-31,San Mateo,34.0
2014-12-31,Santa Barbara,47.0
2014-12-31,Santa Clara,41.0
2014-12-31,Santa Cruz,35.0
2014-12-31,Shasta,43.0
2014-12-31,Siskiyou,37.0
2014-12-31,Solano,43.0
2014-12-31,Sonoma,37.0
2014-12-31,Stanislaus,58.0
2014-12-31,Sutter,51.0
2014-12-31,Tulare,84.0
2014-12-31,Ventura,53.0
2014-12-31,Yolo,41.0
2015-12-31,Alameda,46.0
2015-12-31,Butte,52.0
2015-12-31,Colusa,46.0
2015-12-31,Contra Costa,44.0
2015-12-31,El Dorado,44.0
2015-12-31,Fresno,80.0
2015-12-31,Glenn,44.0
2015-12-31,Imperial,63.0
2015-12-31,Kern,84.0
2015-12-31,Kings,71.0
2015-12-31,Lake,36.0
2015-12-31,Los Angeles,79.0
2015-12-31,Marin,36.0
2015-12-31,Mendocino,38.0
2015-12-31,Mono,14.0
2015-12-31,Monterey,37.0
2015-12-31,Orange,56.0
2015-12-31,Placer,45.0
2015-12-31,Riverside,87.0
2015-12-31,Sacramento,54.0
2015-12-31,San Benito,39.0
2015-12-31,San Bernardino,83.0
2015-12-31,San Diego,61.0
2015-12-31,San Francisco,35.0
2015-12-31,San Joaquin,56.0
2015-12-31,San Luis Obispo,53.0
2015-12-31,San Mateo,32.0
2015-12-31,Santa Barbara,45.0
2015-12-31,Santa Clara,43.0
2015-12-31,Santa Cruz,35.0
2015-12-31,Shasta,44.0
2015-12-31,Siskiyou,36.0
2015-12-31,Solano,44.0
2015-12-31,Sonoma,35.0
2015-12-31,Stanislaus,59.0
2015-12-31,Sutter,49.0
2015-12-31,Tulare,78.0
2015-12-31,Ventura,50.0
2015-12-31,Yolo,44.0
2016-12-31,Alameda,44.0
2016-12-31,Butte,52.0
2016-12-31,Colusa,43.0
2016-12-31,Contra Costa,40.0
2016-12-31,El Dorado,45.0
2016-12-31,Fresno,74.0
2016-12-31,Glenn,43.0
2016-12-31,Imperial,60.0
2016-12-31,Kern,80.0
2016-12-31,Kings,70.0
2016-12-31,Lake,33.0
2016-12-31,Los Angeles,75.0
2016-12-31,Marin,32.0
2016-12-31,Mendocino,33.0
2016-12-31,Mono,17.5
2016-12-31,Monterey,35.5
2016-12-31,Orange,54.0
2016-12-31,Placer,44.0
2016-12-31,Riverside,82.0
2016-12-31,Sacramento,49.0
2016-12-31,San Benito,38.5
2016-12-31,San Bernardino,82.5
2016-12-31,San Diego,66.0
2016-12-31,San Francisco,36.0
2016-12-31,San Joaquin,55.0
2016-12-31,San Luis Obispo,51.0
2016-12-31,San Mateo,37.0
2016-12-31,Santa Barbara,44.0
2016-12-31,Santa Clara,40.0
2016-12-31,Santa Cruz,32.0
2016-12-31,Shasta,41.0
2016-12-31,Siskiyou,26.5
2016-12-31,Solano,40.0
2016-12-31,Sonoma,32.0
2016-12-31,Stanislaus,55.0
2016-12-31,Sutter,52.5
2016-12-31,Tulare,77.0
2016-12-31,Ventura,51.0
2016-12-31,Yolo,40.0
2017-12-31,Alameda,49.0
2017-12-31,Butte,57.0
2017-12-31,Colusa,40.0
2017-12-31,Contra Costa,46.0
2017-12-31,El Dorado,45.0
2017-12-31,Fresno,74.0
2017-12-31,Glenn,43.0
2017-12-31,Imperial,61.0
2017-12-31,Kern,84.0
2017-12-31,Kings,70.0
2017-12-31,Lake,35.0
2017-12-31,Los Angeles,77.0
2017-12-31,Marin,38.0
2017-12-31,Mendocino,39.0
2017-12-31,Mono,18.0
2017-12-31,Monterey,39.0
2017-12-31,Orange,54.0
2017-12-31,Placer,43.0
2017-12-31,Riverside,87.0
2017-12-31,Sacramento,56.0
2017-12-31,San Benito,40.0
2017-12-31,San Bernardino,84.0
2017-12-31,San Diego,65.0
2017-12-31,San Francisco,38.0
2017-12-31,San Joaquin,50.0
2017-12-31,San Luis Obispo,54.0
2017-12-31,San Mateo,37.0
2017-12-31,Santa Barbara,44.0
2017-12-31,Santa Clara,44.0
2017-12-31,Santa Cruz,35.0
2017-12-31,Shasta,44.0
2017-12-31,Siskiyou,26.0
2017-12-31,Solano,44.0
2017-12-31,Sonoma,38.0
2017-12-31,Stanislaus,58.0
2017-12-31,Sutter,51.0
2017-12-31,Tulare,80.0
2017-12-31,Ventura,53.0
2017-12-31,Yolo,43.0
2018-12-31,Alameda,51.0
2018-12-31,Butte,54.0
2018-12-31,Colusa,42.0
2018-12-31,Contra Costa,48.0
2018-12-31,El Dorado,45.0
2018-12-31,Fresno,74.0
2018-12-31,Glenn,36.0
2018-12-31,Imperial,62.0
2018-12-31,Kern,84.0
2018-12-31,Kings,69.0
2018-12-31,Lake,33.0
2018-12-31,Los Angeles,77.0
2018-12-31,Marin,36.0
2018-12-31,Mendocino,37.0
2018-12-31,Mono,23.0
2018-12-31,Monterey,38.0
2018-12-31,Orange,50.0
2018-12-31,Placer,41.0
2018-12-31,Riverside,87.0
2018-12-31,Sacramento,54.0
2018-12-31,San Benito,41.0
2018-12-31,San Bernardino,88.0
2018-12-31,San Diego,64.0
2018-12-31,San Francisco,37.0
2018-12-31,San Joaquin,54.0
2018-12-31,San Luis Obispo,49.0
2018-12-31,San Mateo,36.0
2018-12-31,Santa Barbara,47.0
2018-12-31,Santa Clara,44.0
2018-12-31,Santa Cruz,36.0
2018-12-31,Shasta,43.0
2018-12-31,Siskiyou,41.0
2018-12-31,Solano,42.0
2018-12-31,Sonoma,36.0
2018-12-31,Stanislaus,54.0
2018-12-31,Sutter,54.0
2018-12-31,Tulare,77.0
2018-12-31,Ventura,52.0
2018-12-31,Yolo,43.0
2019-12-31,Alameda,41.0
2019-12-31,Butte,46.0
2019-12-31,Colusa,39.0
2019-12-31,Contra Costa,40.0
2019-12-31,El Dorado,43.0
2019-12-31,Fresno,60.0
2019-12-31,Glenn,40.0
2019-12-31,Imperial,58.0
2019-12-31,Kern,67.0
2019-12-31,Kings,56.0
2019-12-31,Lake,31.0
2019-12-31,Los Angeles,71.0
2019-12-31,Marin,33.0
2019-12-31,Mendocino,33.0
2019-12-31,Mono,27.0
2019-12-31,Monterey,37.0
2019-12-31,Orange,48.0
2019-12-31,Placer,45.0
2019-12-31,Riverside,77.0
2019-12-31,Sacramento,46.0
2019-12-31,San Benito,38.0
2019-12-31,San Bernardino,80.0
2019-12-31,San Diego,64.0
2019-12-31,San Francisco,36.0
2019-12-31,San Joaquin,44.0
2019-12-31,San Luis Obispo,46.0
2019-12-31,San Mateo,35.0
2019-12-31,Santa Barbara,43.0
2019-12-31,Santa Clara,41.0
2019-12-31,Santa Cruz,35.0
2019-12-31,Shasta,42.0
2019-12-31,Siskiyou,36.0
2019-12-31,Solano,40.0
2019-12-31,Sonoma,33.0
2019-12-31,Stanislaus,49.0
2019-12-31,Sutter,44.0
2019-12-31,Tulare,66.0
2019-12-31,Ventura,46.0
2019-12-31,Yolo,41.0
2020-12-31,Alameda,43.0
2020-12-31,Butte,50.5
2020-12-31,Colusa,38.0
2020-12-31,Contra Costa,41.0
2020-12-31,El Dorado,43.0
2020-12-31,Fresno,74.0
2020-12-31,Glenn,42.5
2020-12-31,Imperial,58.0
2020-12-31,Kern,81.0
2020-12-31,Kings,67.0
2020-12-31,Lake,32.0
2020-12-31,Los Angeles,83.0
2020-12-31,Marin,33.0
2020-12-31,Mendocino,34.0
2020-12-31,Mono,39.5
2020-12-31,Monterey,36.0
2020-12-31,Orange,51.0
2020-12-31,Placer,54.0
2020-12-31,Riverside,87.0
2020-12-31,Sacramento,51.5
2020-12-31,San Benito,39.0
2020-12-31,San Bernardino,93.0
2020-12-31,San Diego,71.0
2020-12-31,San Francisco,36.0
2020-12-31,San Joaquin,48.0
2020-12-31,San Luis Obispo,48.0
2020-12-31,San Mateo,35.0
2020-12-31,Santa Barbara,42.0
2020-12-31,Santa Clara,43.5
2020-12-31,Santa Cruz,34.0
2020-12-31,Shasta,41.0
2020-12-31,Siskiyou,36.0
2020-12-31,Solano,41.0
2020-12-31,Sonoma,33.0
2020-12-31,Stanislaus,55.0
2020-12-31,Sutter,48.0
2020-12-31,Tulare,78.5
2020-12-31,Ventura,47.0
2020-12-31,Yolo,41.5
2021-12-31,Alameda,45.0
2021-12-31,Butte,48.0
2021-12-31,Colusa,46.0
2021-12-31,Contra Costa,42.0
2021-12-31,El Dorado,43.0
2021-12-31,Fresno,67.0
2021-12-31,Glenn,39.0
2021-12-31,Imperial,58.0
2021-12-31,Kern,84.0
2021-12-31,Kings,61.0
2021-12-31,Lake,33.0
2021-12-31,Los Angeles,77.0
2021-12-31,Marin,34.0
2021-12-31,Mendocino,38.0
2021-12-31,Mono,21.0
2021-12-31,Monterey,37.0
2021-12-31,Orange,49.0
2021-12-31,Placer,54.0
2021-12-31,Riverside,87.0
2021-12-31,Sacramento,50.0
2021-12-31,San Benito,40.0
2021-12-31,San Bernardino,87.0
2021-12-31,San Diego,64.0
2021-12-31,San Francisco,36.0
2021-12-31,San Joaquin,51.0
2021-12-31,San Luis Obispo,48.0
2021-12-31,San Mateo,33.0
2021-12-31,Santa Barbara,41.0
2021-12-31,Santa Clara,44.0
2021-12-31,Santa Cruz,34.0
2021-12-31,Shasta,45.0
2021-12-31,Siskiyou,40.0
2021-12-31,Solano,40.0
2021-12-31,Sonoma,33.0
2021-12-31,Stanislaus,58.0
2021-12-31,Sutter,54.0
2021-12-31,Tulare,80.0
2021-12-31,Ventura,48.0
2021-12-31,Yolo,39.0
2022-12-31,Alameda,41.0
2022-12-31,Butte,44.0
2022-12-31,Colusa,41.0
2022-12-31,Contra Costa,43.0
2022-12-31,El Dorado,44.0
2022-12-31,Fresno,62.0
2022-12-31,Glenn,41.0
2022-12-31,Imperial,60.0
2022-12-31,Kern,61.0
2022-12-31,Kings,60.0
2022-12-31,Lake,16.0
2022-12-31,Los Angeles,77.0
2022-12-31,Marin,33.0
2022-12-31,Mendocino,56.0
2022-12-31,Mono,21.0
2022-12-31,Monterey,37.5
2022-12-31,Orange,48.0
2022-12-31,Placer,51.0
2022-12-31,Riverside,87.0
2022-12-31,Sacramento,41.0
2022-12-31,San Benito,42.0
2022-12-31,San Bernardino,80.0
2022-12-31,San Diego,54.0
2022-12-31,San Francisco,33.0
2022-12-31,San Joaquin,43.0
2022-12-31,San Luis Obispo,54.0
2022-12-31,San Mateo,33.0
2022-12-31,Santa Barbara,43.0
2022-12-31,Santa Clara,44.0
2022-12-31,Santa Cruz,33.0
2022-12-31,Shasta,45.0
2022-12-31,Siskiyou,5.0
2022-12-31,Solano,40.0
2022-12-31,Sonoma,31.0
2022-12-31,Stanislaus,53.0
2022-12-31,Sutter,47.0
2022-12-31,Tulare,77.0
2022-12-31,Ventura,49.0
2022-12-31,Yolo,41.0
2023-12-31,Alameda,43.0
2024-12-31,Alameda,43.0
2025-12-31,Alameda,44.0
2026-12-31,Alameda,44.0
2027-12-31,Alameda,44.0
2023-12-31,Butte,46.0
2024-12-31,Butte,46.0
2025-12-31,Butte,46.0
2026-12-31,Butte,47.0
2027-12-31,Butte,46.0
2023-12-31,Colusa,43.0
2024-12-31,Colusa,43.0
2025-12-31,Colusa,44.0
2026-12-31,Colusa,45.0
2027-12-31,Colusa,44.0
2023-12-31,Contra Costa,43.0
2024-12-31,Contra Costa,43.0
2025-12-31,Contra Costa,44.0
2026-12-31,Contra Costa,44.0
2027-12-31,Contra Costa,44.0
2023-12-31,El Dorado,44.0
2024-12-31,El Dorado,44.0
2025-12-31,El Dorado,45.0
2026-12-31,El Dorado,45.0
2027-12-31,El Dorado,45.0
2023-12-31,Fresno,63.0
2024-12-31,Fresno,63.0
2025-12-31,Fresno,63.0
2026-12-31,Fresno,63.0
2027-12-31,Fresno,62.0
2023-12-31,Glenn,41.0
2024-12-31,Glenn,41.0
2025-12-31,Glenn,42.0
2026-12-31,Glenn,42.0
2027-12-31,Glenn,42.0
2023-12-31,Imperial,59.0
2024-12-31,Imperial,59.0
2025-12-31,Imperial,59.0
2026-12-31,Imperial,59.0
2027-12-31,Imperial,58.0
2023-12-31,Kern,66.0
2024-12-31,Kern,69.0
2025-12-31,Kern,68.0
2026-12-31,Kern,68.0
2027-12-31,Kern,67.0
2023-12-31,Kings,60.0
2024-12-31,Kings,59.0
2025-12-31,Kings,60.0
2026-12-31,Kings,60.0
2027-12-31,Kings,59.0
2023-12-31,Lake,21.0
2024-12-31,Lake,25.0
2025-12-31,Lake,25.0
